Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	body_sentiment	BodyCompletedAt	body_duration_ms	Trigger
AIIO	"[""AIIO""]"	nPreGSLcwa	2026-05-14 00:00:00	Robo.ai Subsidiary Neurovia AI Launches NeuroStream™ Technology Platform to Build Physical AI Visual Data Infrastructure	PR Newswire	13.53	2026-05-14 00:00:00.286869	0.1671	0.0122	0.8207	0.1548	positive		2026-05-14 00:00:01.574972	1389.23	NO:sentiment_score
IHG	"[""IHG""]"	nACSwrp54a	2026-05-14 02:00:00	InterContinental Hotels Group PLC Announces Transaction in Own Shares - May 14	ACCESSWIRE	149.25	2026-05-14 02:00:00.698131	0.0646	0.0268	0.9086	0.0378	neutral		2026-05-14 02:00:01.164580	533.31	NO:sentiment_score,Float
EYE	"[""EYE""]"	nPrecC9MZa	2026-05-14 02:00:01	UK's Leading CPG Coupon Validation Platform Now a Part of Eagle Eye	PR Newswire	77.42	2026-05-14 02:00:01.543727	0.0963	0.0194	0.8842	0.0769	positive		2026-05-14 02:00:02.772333	1321.25	NO:sentiment_score,Float
BRAI	"[""BRAI""]"	nPRrE1932a	2026-05-14 02:00:17	REG-BlackRock American Income Trust Plc: Total Voting Rights	PR Newswire	17.7	2026-05-14 02:00:17.712348	0.0747	0.0127	0.9126	0.062	positive		2026-05-14 02:00:17.978027	380.6	NO:sentiment_score
RIO	"[""RIO""]"	nBw59TJ7Ta	2026-05-14 02:33:00	Rio Tinto appoints new Chief Legal Officer	Business Wire	1250.0	2026-05-14 02:33:00.255336	0.1116	0.0942	0.7941	0.0174	neutral		2026-05-14 02:33:00.992770	823.81	NO:sentiment_score,Float
GEMI	"[""GEMI""]"	nPn4NlLNBa	2026-05-14 03:09:00	Gemini Space Station, Inc. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - GEMI	PR Newswire	38.2	2026-05-14 03:09:00.192549	0.1145	0.0539	0.8315	0.0606	positive	0.0285	2026-05-14 03:09:00.925529	817.67	NO:sentiment_score
III	"[""III""]"	nBw7RyPx3a	2026-05-14 04:00:00	European Aerospace, Defense Firms Advance Modernization	Business Wire	33.28	2026-05-14 04:00:00.462920	0.2173	0.0189	0.7638	0.1984	positive	0.409	2026-05-14 04:00:01.778641	1387.41	NO:sentiment_score
AIIO	"[""AIIO""]"	nPn3CwzYFa	2026-05-14 05:00:00	Robo.ai Subsidiary Neurovia AI Launches NeuroStream™ Technology Platform to Build Physical AI Visual Data Infrastructure	PR Newswire	13.53	2026-05-14 05:00:00.512089	0.1671	0.0122	0.8207	0.1548	positive		2026-05-14 05:00:02.132230	1718.24	NO:sentiment_score
SHEL	"[""SHEL""]"	nGNEbKJMv1	2026-05-14 05:31:49	REG-Shell plc - Report on Payments to Governments for the year 2025 	Globe Newswire	2800.0	2026-05-14 05:31:49.755104	0.0911	0.0244	0.8845	0.0666	positive		2026-05-14 05:32:03.359025	13695.95	NO:sentiment_score,Float
EZRA	"[""EZRA""]"	nGNE1lYYzH	2026-05-14 06:00:00	Reliance Global Group Announces Reverse Stock Split	Globe Newswire	7.47	2026-05-14 06:00:00.435824	0.1386	0.2082	0.6532	-0.0696	negative	0.2546	2026-05-14 06:00:03.742141	3395.36	NO:sentiment_score
JOB	"[""JOB""]"	nACSDhgtJa	2026-05-14 06:00:00	GEE Group Announces Filing of a Universal Shelf Registration Statement on Form S-3 for Financial Flexibility	ACCESSWIRE	89.43	2026-05-14 06:00:00.804061	0.3213	0.0451	0.6336	0.2762	positive	-0.0287	2026-05-14 06:00:05.605579	4880.25	NO:sentiment_score,Float
RMTI	"[""RMTI""]"	nBwxmCzVa	2026-05-14 06:00:00	Rockwell Medical Signs New 3-Year Product Purchase Agreement with Heritage Dialysis	Business Wire	34.15	2026-05-14 06:00:00.908732	0.8353	0.0117	0.153	0.8235	positive	0.3885	2026-05-14 06:00:05.764684	2018.66	YES
RYDE	"[""RYDE""]"	nACSc4yKPa	2026-05-14 06:00:00	Ryde is Back in Compliance With all of The NYSE American LLC Continued Listing Standards 	ACCESSWIRE	96.49	2026-05-14 06:00:00.958886	0.4226	0.0411	0.5363	0.3814	positive	0.1359	2026-05-14 06:00:07.020024	1406.83	NO:sentiment_score,Float
MTEK	"[""MTEK""]"	nNFC4CLtrS	2026-05-14 06:00:20	Metatek-Group Ltd. Reports First Quarter Fiscal Year 2026 Results	Newsfile Corp	5.82	2026-05-14 06:00:20.948320	0.0476	0.0527	0.8997	-0.0051	neutral		2026-05-14 06:00:23.732715	2881.11	NO:sentiment_score
CTNT	"[""CTNT""]"	nGNX3C6xzL	2026-05-14 06:05:00	Cheetah Net Supply Chain Service Inc. Announces First Quarter 2026 Results and Provides Corporate Update	Globe Newswire	36.03	2026-05-14 06:05:00.424673	0.0752	0.0464	0.8784	0.0289	neutral	-0.1981	2026-05-14 06:05:03.753228	3396.23	NO:sentiment_score
AIRO	"[""AIRO""]"	nBw3Dnfkza	2026-05-14 06:29:00	AIRO Reports First Quarter 2026 Results	Business Wire	20.02	2026-05-14 06:29:00.491849	0.0795	0.0519	0.8686	0.0276	neutral	0.2948	2026-05-14 06:29:04.805919	4407.78	NO:sentiment_score
IDR	"[""IDR""]"	nBwbtfxKVa	2026-05-14 06:30:00	Idaho Strategic Reports Record First Quarter 2026 Operating and Financial Performance	Business Wire	14.93	2026-05-14 06:30:00.553079	0.6816	0.1166	0.2018	0.5651	positive	0.462	2026-05-14 06:30:06.744649	6213.46	NO:sentiment_score
BURU	"[""BURU""]"	nBw8Vf2d1a	2026-05-14 06:30:00	NUBURU Expects to Report Positive Stockholders’ Equity and Provides NYSE American Listing Compliance Update	Business Wire	153.19	2026-05-14 06:30:00.679308	0.8846	0.0122	0.1032	0.8725	positive		2026-05-14 06:30:08.432255	1685.63	NO:Float
FENC	"[""FENC""]"	nGNXbFC88G	2026-05-14 06:30:00	Fennec Pharmaceuticals Reports First Quarter 2026 Financial Results and Provides Business Update	Globe Newswire	29.51	2026-05-14 06:30:00.507259	0.0754	0.025	0.8996	0.0505	positive	0.1642	2026-05-14 06:30:10.078211	9642.49	NO:sentiment_score
BRAG	"[""BRAG""]"	nBwbZnXLQa	2026-05-14 06:30:00	Bragg Gaming Group Accelerates Games-First Strategy with Acquisition of Drayton International	Business Wire	20.5	2026-05-14 06:30:00.702096	0.2889	0.0118	0.6993	0.2771	positive	0.3489	2026-05-14 06:30:20.553787	12115.54	NO:sentiment_score
SBC	"[""SBC""]"	nBw5qyLNwa	2026-05-14 06:30:00	SBC Medical Group Holdings Announces First Quarter 2026 Financial Results	Business Wire	6.35	2026-05-14 06:30:00.914554	0.108	0.088	0.804	0.02	neutral		2026-05-14 06:30:22.610390	12535.38	NO:sentiment_score
TMQ	"[""TMQ""]"	nPnbtsZcJa	2026-05-14 06:30:00	Trilogy Metals Announces Election of Directors and Voting Results from the 2026 Annual Meeting of Shareholders	PR Newswire	108.61	2026-05-14 06:30:01.054931	0.0549	0.0276	0.9176	0.0273	neutral	0.171	2026-05-14 06:30:23.698006	3142.08	NO:sentiment_score,Float
VZLA	"[""VZLA""]"	nPnVqq6Ja	2026-05-14 06:30:01	VIZSLA SILVER APPOINTS FORMER SENIOR MEXICAN GOVERNMENT MINING OFFICIAL AS VICE PRESIDENT, GOVERNMENT RELATIONS	PR Newswire	330.22	2026-05-14 06:30:02.036950	0.0776	0.0402	0.8822	0.0374	neutral	0.2079	2026-05-14 06:30:26.237111	3616.86	NO:sentiment_score,Float
ELWT	"[""ELWT""]"	nNFC4T46MY	2026-05-14 06:30:19	Elauwit Connection, Inc. Delivers 29 Percent Increase in Contracted Units, Larger Sales Pipeline in First Quarter 2026	Newsfile Corp	2.24	2026-05-14 06:30:19.400662	0.918	0.0147	0.0673	0.9033	positive	0.1569	2026-05-14 06:30:28.042080	4342.61	YES
SHEL	"[""SHEL""]"	nGNE58VWj7	2026-05-14 06:38:30	REG-Transaction in Own Shares	Globe Newswire	2800.0	2026-05-14 06:38:30.239313	0.0526	0.0227	0.9248	0.0299	neutral		2026-05-14 06:38:31.445699	1283.05	NO:sentiment_score,Float
BRAI	"[""BRAI""]"	nPRrE2767a	2026-05-14 06:39:43	REG-BlackRock American Income Trust Plc: Net Asset Value(s)	PR Newswire	17.7	2026-05-14 06:39:43.286007	0.0711	0.0375	0.8914	0.0336	neutral		2026-05-14 06:39:43.446370	250.59	NO:sentiment_score
GOOS	"[""GOOS""]"	nBw5GmRNLa	2026-05-14 06:45:00	Canada Goose Reports Fourth Quarter and Full Year Fiscal 2026 Results	Business Wire	41.95	2026-05-14 06:45:00.492517	0.0517	0.0609	0.8874	-0.0092	neutral	0.1152	2026-05-14 06:45:14.594554	14179.09	NO:sentiment_score
BN	"[""BN""]"	nGNX7D3pfP	2026-05-14 06:45:00	Brookfield Corporation Reports Strong First Quarter Results 	Globe Newswire	1820.0	2026-05-14 06:45:00.612003	0.9198	0.0224	0.0578	0.8974	positive		2026-05-14 06:45:14.702118	14153.02	NO:Float
DXLG	"[""DXLG""]"	nGNXc8n7KF	2026-05-14 07:00:00	Destination XL Group, Inc. to Announce First Quarter 2026 Financial Results on Thursday, May 28, 2026	Globe Newswire	48.42	2026-05-14 07:00:00.797108	0.0947	0.0482	0.8571	0.0464	neutral	-0.0277	2026-05-14 07:00:02.771568	2043.2	NO:sentiment_score
CINT	"[""CINT"", ""ILLM""]"	nGNX3Rp9Dm	2026-05-14 07:00:00	illumin and Cint make brand measurement immediate and actionable in programmatic advertising	Globe Newswire	16.34	2026-05-14 07:00:00.675923	0.2172	0.0136	0.7692	0.2036	positive	0.2024	2026-05-14 07:00:03.628345	3050.09	NO:sentiment_score
ILLM	"[""CINT"", ""ILLM""]"	nGNX3Rp9Dm	2026-05-14 07:00:00	illumin and Cint make brand measurement immediate and actionable in programmatic advertising	Globe Newswire		2026-05-14 07:00:00.676268	0.2172	0.0136	0.7692	0.2036	positive		2026-05-14 07:00:03.629651	3050.09	NO:sentiment_score,Float
FCHL	"[""FCHL""]"	nACSpYJXNa	2026-05-14 07:00:00	FCHL SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Stockholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	2026-05-14 07:00:00.947238	0.1192	0.3268	0.554	-0.2076	negative	-0.1028	2026-05-14 07:00:05.281887	2507.58	NO:sentiment_score
TLRY	"[""TLRY""]"	nGNX7cYk3p	2026-05-14 07:00:00	BrewDog Shakes Up RTD Shelves Across the UK with New Nostalgia-Led Wonderland Cocktails	Globe Newswire	118.71	2026-05-14 07:00:00.952381	0.2207	0.0767	0.7026	0.144	positive	0.1965	2026-05-14 07:00:06.654445	3021.57	NO:sentiment_score,Float
PTHS	"[""PTHS""]"	nGNX3x6xWC	2026-05-14 07:00:01	Pelthos Therapeutics Announces First Quarter 2026 Financial Results	Globe Newswire	2.73	2026-05-14 07:00:01.715887	0.1284	0.1003	0.7713	0.028	neutral	0.197	2026-05-14 07:00:14.778289	8110.97	NO:sentiment_score
NTWK	"[""NTWK""]"	nGNX4J8bYj	2026-05-14 07:00:02	NETSOL Technologies reports record quarterly revenue and 13% year-over-year growth in Q3 fiscal 2026	Globe Newswire	9.96	2026-05-14 07:00:02.144210	0.8711	0.0217	0.1072	0.8495	positive	0.4559	2026-05-14 07:00:23.760731	8970.85	YES
RSVR	"[""RSVR""]"	nACSB9R9la	2026-05-14 07:00:02	Reservoir Media to Release Fourth Quarter and Fiscal Year 2026 Results on May 28, 2026	ACCESSWIRE	32.74	2026-05-14 07:00:02.773609	0.0508	0.0522	0.8969	-0.0014	neutral		2026-05-14 07:00:24.827699	1056.34	NO:sentiment_score
GEMI	"[""GEMI""]"	nACSdByJha	2026-05-14 07:00:02	GEMI INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Reminds Stockholders of Gemini Space Station, Inc. to Contact the Firm Today!	ACCESSWIRE	38.2	2026-05-14 07:00:03.632038	0.1314	0.0379	0.8307	0.0936	positive	0.1116	2026-05-14 07:00:26.274213	1441.49	NO:sentiment_score
AZN	"[""AZN""]"	nBw8nLwFRa	2026-05-14 07:00:01	Perioperative IMFINZI® (durvalumab) plus neoadjuvant EV showed statistically significant and clinically meaningful improvements in event-free survival and overall survival in muscle-invasive bladder cancer in the Phase III VOLGA trial	Business Wire	1480.0	2026-05-14 07:00:01.408517	0.9071	0.0228	0.07	0.8843	positive	0.0257	2026-05-14 07:00:31.100857	25805.04	NO:Float
AMS	"[""AMS""]"	nGNX4zQn6w	2026-05-14 07:00:02	American Shared Hospital Services Reports First Quarter 2026 Financial Results	Globe Newswire	3.5	2026-05-14 07:00:03.641260	0.1757	0.1362	0.6881	0.0395	neutral	0.1312	2026-05-14 07:00:31.465842	5189.8	NO:sentiment_score
ATRA	"[""ATRA""]"	nACSrsHP3a	2026-05-14 07:00:03	ATRA STOCKHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Investors with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	2026-05-14 07:00:06.659203	0.1546	0.2246	0.6208	-0.07	negative	-0.0525	2026-05-14 07:00:33.457275	1979.21	NO:sentiment_score
YOOV	"[""YOOV""]"	nACSlKhCsa	2026-05-14 07:00:03	CIGL STOCKHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Concorde International Group, Ltd. Investors with Losses Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	5.91	2026-05-14 07:00:14.792367	0.1694	0.2926	0.538	-0.1232	negative	-0.0786	2026-05-14 07:00:35.509778	2048.2	NO:sentiment_score
NRXP	"[""NRXP""]"	nGNX1CDmt3	2026-05-14 07:00:04	NRx Pharmaceuticals, Inc. (NASDAQ:NRXP) to Report First Quarter 2026 Financial Results and Provide Corporate Update	Globe Newswire	29.22	2026-05-14 07:00:23.831161	0.1019	0.0333	0.8648	0.0686	positive		2026-05-14 07:00:37.207743	1688.82	NO:sentiment_score
PYXS	"[""PYXS""]"	nGNX7Hzp8W	2026-05-14 07:00:03	Pyxis Oncology Reports First Quarter 2026 Financial Results and Advances MICVO Toward Key 2026 Clinical Milestones	Globe Newswire	48.56	2026-05-14 07:00:05.308958	0.9192	0.0157	0.0651	0.9034	positive	0.1655	2026-05-14 07:00:39.089751	7975.96	YES
XRTX	"[""XRTX""]"	nGNXx9St6	2026-05-14 07:00:04	XORTX Announces US$5 Million Public Offering	Globe Newswire	1.25	2026-05-14 07:00:26.378252	0.1563	0.0208	0.8229	0.1354	positive	0.1481	2026-05-14 07:00:42.228596	3125.49	NO:sentiment_score
BLX	"[""BLX""]"	nGNX4JsdK6	2026-05-14 07:00:04	Boralex reports higher operating income and the addition of new growth projects in the first quarter of 2026	Globe Newswire	27.74	2026-05-14 07:00:24.834063	0.937	0.0139	0.0491	0.9231	positive	0.1567	2026-05-14 07:00:48.546184	11332.08	YES
LIEN	"[""LIEN""]"	nGNX1wnWFd	2026-05-14 07:00:05	Chicago Atlantic BDC, Inc. Reports First Quarter 2026 Financial Results	Globe Newswire	19.78	2026-05-14 07:00:31.117660	0.0954	0.1403	0.7643	-0.0449	neutral	0.0115	2026-05-14 07:00:48.927667	6693.38	NO:sentiment_score
CLYM	"[""CLYM""]"	nGNX50fm7d	2026-05-14 07:00:05	Climb Bio to Present New Budoprutug Clinical Data at European Hematology Association (EHA) 2026 Congress	Globe Newswire	39.49	2026-05-14 07:00:33.461599	0.0974	0.017	0.8855	0.0804	positive	0.1103	2026-05-14 07:00:52.756402	3809.13	NO:sentiment_score
CAMP	"[""CAMP""]"	nGNX22hS6j	2026-05-14 07:00:05	CAMP4 Therapeutics to Present New Preclinical Data Demonstrating CMP-002 Improves Seizure Threshold and Severity in a Model of SYNGAP1-Related Disorder	Globe Newswire	21.26	2026-05-14 07:00:31.473304	0.8275	0.014	0.1585	0.8135	positive	0.4514	2026-05-14 07:00:53.177030	4625.29	YES
UONEK	"[""UONEK""]"	nPn26BmBfa	2026-05-14 07:00:06	URBAN ONE, INC. REPORTS FIRST QUARTER 2026 RESULTS	PR Newswire	1.8556	2026-05-14 07:00:37.212747	0.0535	0.0677	0.8788	-0.0143	neutral	-0.0285	2026-05-14 07:01:10.355789	17172.43	NO:sentiment_score
RGNX	"[""RGNX""]"	nPn3nHF0Qa	2026-05-14 07:00:09	REGENXBIO Announces Positive Topline Results from Pivotal Phase III AFFINITY DUCHENNE® Study of RGX-202	PR Newswire	46.06	2026-05-14 07:00:39.186656	0.8102	0.0248	0.165	0.7854	positive	0.2078	2026-05-14 07:01:16.568537	6204.66	YES
HYPD	"[""HYPD""]"	nGNX58223z	2026-05-14 07:00:05	Hyperion DeFi Reports 1Q 2026 Financial Results with Record Net Income and Raises Guidance for Full Year 2026	Globe Newswire	6.89	2026-05-14 07:00:35.522997	0.8562	0.0284	0.1155	0.8278	positive	0.468	2026-05-14 07:01:21.487953	28721.51	YES
BHST	"[""BHST""]"	nNFC662zqp	2026-05-14 07:00:23	BioHarvest Sciences Reports First Quarter 2026 Financial Results and Provides Business Update	Newsfile Corp	14.53	2026-05-14 07:00:42.344097	0.0652	0.0301	0.9047	0.035	neutral	0.2917	2026-05-14 07:01:25.618176	9051.33	NO:sentiment_score
DTIL	"[""DTIL""]"	nBwLPJ5ca	2026-05-14 07:01:00	Precision BioSciences Presents New Preclinical Data Supporting the Advancement of PBGENE-DMD into Clinic at the American Society of Gene & Cell Therapy 2026 Annual Meeting	Business Wire	23.02	2026-05-14 07:01:00.381618	0.5143	0.0144	0.4713	0.4999	positive	0.2859	2026-05-14 07:01:25.987408	4496.58	NO:sentiment_score
CRWS	"[""CRWS""]"	nGNX8JzwTx	2026-05-14 07:10:00	Crown Crafts Announces Quarterly Cash Dividend	Globe Newswire	9.45	2026-05-14 07:10:00.293279	0.1248	0.0839	0.7913	0.0409	neutral	-0.0299	2026-05-14 07:10:02.548698	2359.38	NO:sentiment_score
HCTI	"[""HCTI""]"	nPn28yvpMa	2026-05-14 07:10:00	Healthcare Triangle Reports 627% Increase in Gross Profit and 166% Increase in Revenue for Q1 2026	PR Newswire	1.76	2026-05-14 07:10:00.447541	0.8676	0.016	0.1164	0.8517	positive	0.4809	2026-05-14 07:10:05.957056	3402.34	YES
RGNX	"[""RGNX""]"	nPn1rTLjMa	2026-05-14 07:10:00	REGENXBIO Reports First Quarter 2026 Financial Results and Operational Highlights	PR Newswire	46.06	2026-05-14 07:10:00.389934	0.1901	0.0705	0.7394	0.1196	positive	0.2084	2026-05-14 07:10:10.410356	10106.52	NO:sentiment_score
BKTI	"[""BKTI""]"	nACScjpdKa	2026-05-14 07:10:00	BK Technologies Reports First Quarter of Fiscal Year 2026 Results; Record Cash Balance Achieved	ACCESSWIRE	2.86	2026-05-14 07:10:00.812411	0.9271	0.0286	0.0442	0.8985	positive	0.185	2026-05-14 07:10:14.102127	8137.92	YES
CLRB	"[""CLRB""]"	nGNX2zqLXN	2026-05-14 07:15:00	Cellectar Biosciences Reports First Quarter 2026 Financial Results and Provides Corporate Updates	Globe Newswire	3.98	2026-05-14 07:15:00.418036	0.0981	0.0566	0.8453	0.0415	neutral	0.0394	2026-05-14 07:15:04.716769	4396.73	NO:sentiment_score
EDAP	"[""EDAP""]"	nGNE5sjVnz	2026-05-14 07:30:00	EDAP | Focal One and Telix Announce Collaboration Focused on Robotic HIFU and Theranostics in Prostate Cancer	Globe Newswire	37.41	2026-05-14 07:30:00.280788	0.6519	0.0126	0.3355	0.6393	positive	0.3757	2026-05-14 07:30:04.211270	4032.08	NO:sentiment_score
NVCT	"[""NVCT""]"	nGNX5Y6LfM	2026-05-14 07:30:00	Nuvectis Pharma, Inc. To Participate in the H.C. Wainwright 4th Annual BioConnect Investor Conference at NASDAQ	Globe Newswire	15.16	2026-05-14 07:30:00.410782	0.2147	0.0308	0.7545	0.1839	positive	0.2435	2026-05-14 07:30:05.456529	1241.17	NO:sentiment_score
HCWB	"[""HCWB""]"	nGNX7jwMkY	2026-05-14 07:30:00	HCW Biologics Discovers that HCW11-040 Prevents Bronchopulmonary Dysplasia (BPD) During IND-Enabling Studies	Globe Newswire	5.1	2026-05-14 07:30:00.508361	0.801	0.0171	0.1819	0.7839	positive	0.3635	2026-05-14 07:30:09.132238	3667.93	YES
KPTI	"[""KPTI""]"	nPn2Dhgsa	2026-05-14 07:30:00	Karyopharm Reports First Quarter 2026 Financial Results and Completion of Phase 3 Endometrial Cancer Trial Enrollment	PR Newswire	20.8	2026-05-14 07:30:00.405483	0.4528	0.0271	0.5201	0.4257	positive	0.2338	2026-05-14 07:30:15.334584	15027.27	NO:sentiment_score
FTLF	"[""FTLF""]"	nGNE8PYLj2	2026-05-14 07:30:00	FitLife Brands Announces First Quarter 2026 Results	Globe Newswire	7.96	2026-05-14 07:30:00.906754	0.0644	0.0824	0.8532	-0.0179	neutral	0.0164	2026-05-14 07:30:17.026133	7889.27	NO:sentiment_score
GLMD	"[""GLMD""]"	nPn7kfxd2a	2026-05-14 07:30:01	Galmed Announces Results from First-in-Man Pharmacokinetics Study of Oral Formulation of Aramchol Meglumine (AM); 400mg AM Increases Bioavailability by ~500% in Comparison to Aramchol Free Acid (AA) 300mg	PR Newswire	6.1	2026-05-14 07:30:01.342691	0.8695	0.0127	0.1178	0.8568	positive	0.3172	2026-05-14 07:30:21.391618	4361.78	YES
BRAG	"[""BRAG""]"	nBw3kvbva	2026-05-14 07:30:00	Bragg Gaming Group Reports First Quarter 2026 Financial Results	Business Wire	20.5	2026-05-14 07:30:00.964107	0.1638	0.1097	0.7265	0.054	positive	0.2162	2026-05-14 07:30:25.556906	10217.54	NO:sentiment_score
MLSS	"[""MLSS""]"	nGNX1nGvz0	2026-05-14 07:30:01	Milestone Scientific Reports Financial Results for First Quarter 2026	Globe Newswire	62.59	2026-05-14 07:30:01.523336	0.1097	0.0728	0.8176	0.0369	neutral	0.2803	2026-05-14 07:30:26.708152	5312.07	NO:sentiment_score,Float
MRLN	"[""MRLN""]"	nGNX8W4R5j	2026-05-14 07:30:01	Merlin, Inc. Reports First Quarter 2026 Results	Globe Newswire	2.58	2026-05-14 07:30:04.225887	0.0537	0.0739	0.8725	-0.0202	neutral	0.1656	2026-05-14 07:30:30.594833	5035.38	NO:sentiment_score
OSTX	"[""OSTX""]"	nNFCbSVD0V	2026-05-14 07:30:18	OS Therapies Appoints Industry Leader Dr. Craig Eagle as Chief Medical Advisor	Newsfile Corp	29.77	2026-05-14 07:30:18.143578	0.1141	0.0309	0.8549	0.0832	positive	0.3934	2026-05-14 07:30:31.405079	4683.01	NO:sentiment_score
SUNS	"[""SUNS""]"	nGNX6wqn75	2026-05-14 07:33:00	Sunrise Realty Trust, Inc. Announces Financial Results for the First Quarter 2026	Globe Newswire	9.61	2026-05-14 07:33:00.358638	0.1073	0.0983	0.7945	0.009	neutral	0.1394	2026-05-14 07:33:03.321689	3060.95	NO:sentiment_score
MITQ	"[""MITQ""]"	nNFC17Jsnn	2026-05-14 07:47:18	Moving iMage Technologies Reports Revenue of $3.39M for Seasonally Soft Q3, Bolstered by DCS Cinema Loudspeaker Shipments; Hosts Call Today at 11am ET	Newsfile Corp	6.56	2026-05-14 07:47:19.009152	0.2727	0.0494	0.6779	0.2233	positive	0.0461	2026-05-14 07:47:22.141432	3232.77	NO:sentiment_score
CTGO	"[""CTGO""]"	nPnkKXPFa	2026-05-14 07:55:00	Contango Announces Results for the Quarter Ended March 31, 2026	PR Newswire	27.73	2026-05-14 07:55:00.307279	0.0741	0.0537	0.8722	0.0204	neutral	0.0862	2026-05-14 07:55:05.639680	5432.19	NO:sentiment_score
APYX	"[""APYX""]"	nGNX3f9hXW	2026-05-14 08:00:00	Apyx Medical Corporation Announces Retrospective Clinical Publication Evaluating Clinical Benefit of Renuvion® Used in Combination with Liposuction	Globe Newswire	36.28	2026-05-14 08:00:00.858231	0.4248	0.0276	0.5476	0.3972	positive	0.3695	2026-05-14 08:00:04.636057	3873.93	NO:sentiment_score
KAPA	"[""KAPA""]"	nBwbgt8Z3a	2026-05-14 08:00:00	Kairos Pharma Receives GHP Magazine’s Healthcare & Pharmaceutical Award	Business Wire	12.4	2026-05-14 08:00:00.673323	0.8543	0.0233	0.1224	0.831	positive	0.1061	2026-05-14 08:00:05.089646	4500.76	YES
LRHC	"[""LRHC""]"	nGNE7qHwhn	2026-05-14 08:00:00	La Rosa Holdings Provides Update on Proposed Consensus Core Transaction Anticipates Definitive Agreements Within 45 to 60 Days, Subject to Customary Conditions	Globe Newswire	0.56	2026-05-14 08:00:00.869339	0.1487	0.0148	0.8364	0.1339	positive	0.1669	2026-05-14 08:00:07.483899	2844.11	NO:sentiment_score
ZENA	"[""ZENA""]"	nGNEbphVbJ	2026-05-14 08:00:00	ZenaDrone 2000 Heavy-Lift Interceptor Advances Toward Flight Testing as ZenaTech Targets $20B Counter-Drone Market	Globe Newswire	18.44	2026-05-14 08:00:00.971629	0.7796	0.0174	0.203	0.7621	positive	0.0787	2026-05-14 08:00:09.439278	4347.29	YES
ARDT	"[""ARDT""]"	nBw5PQXvga	2026-05-14 08:00:01	Ardent Health and Fujifilm Partner to Deliver Synapse Enterprise Imaging Across Radiology and Cardiology Throughout All Facilities	Business Wire	22.42	2026-05-14 08:00:01.229593	0.2266	0.0138	0.7596	0.2127	positive	0.4574	2026-05-14 08:00:09.991615	2492.65	NO:sentiment_score
NDRA	"[""NDRA""]"	nBw3pFM75a	2026-05-14 08:00:01	ENDRA Life Sciences Reports Multi-Site Validation of TAEUS® Liver Device Demonstrating MRI-like Accuracy and Reproducibility	Business Wire	0.61	2026-05-14 08:00:01.633638	0.7944	0.0122	0.1934	0.7821	positive	0.3132	2026-05-14 08:00:13.366656	3369.19	YES
