Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	body_sentiment	BodyCompletedAt	body_duration_ms	Trigger
RIME	"[""RIME""]"	nGNXb0KzPW	2026-05-14 08:00:01	Algorhythm Holdings Announces Record First Quarter 2026 Financial Results	Globe Newswire	10.52	2026-05-14 08:00:01.460544	0.1986	0.1207	0.6807	0.0778	positive	0.6163	2026-05-14 08:00:15.441760	5996.7	NO:sentiment_score
INMB	"[""INMB""]"	nGNE7ymcw1	2026-05-14 08:00:01	INmune Bio Receives FDA Fast Track Designation for XPro1595 in Early Alzheimer's Disease	Globe Newswire	22.06	2026-05-14 08:00:01.707678	0.5057	0.0335	0.4608	0.4723	positive	0.4374	2026-05-14 08:00:17.324789	3955.72	NO:sentiment_score
CNSP	"[""CNSP""]"	nACSnDnlHa	2026-05-14 08:00:01	CNS Pharmaceuticals Reports First Quarter 2026 Financial Results and Highlights Strategic Transformation Progress	ACCESSWIRE	0.7158	2026-05-14 08:00:04.648096	0.5503	0.0168	0.4329	0.5335	positive	0.3747	2026-05-14 08:00:19.801039	4332.22	NO:sentiment_score
SEER	"[""SEER""]"	nBw5kW2Pya	2026-05-14 08:00:01	The Radoff-JEC Group Submits its Third Non-Binding Proposal to Acquire Seer, Inc.	Business Wire	29.44	2026-05-14 08:00:05.234351	0.087	0.0193	0.8936	0.0677	positive	0.5923	2026-05-14 08:00:22.302129	4901.24	NO:sentiment_score
SMID	"[""SMID""]"	nBw5gpjZma	2026-05-14 08:00:02	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	2026-05-14 08:00:09.452430	0.0738	0.0729	0.8534	0.0009	neutral	0.0934	2026-05-14 08:00:22.778809	541.31	NO:sentiment_score
SSTI	"[""SSTI""]"	nGNX7XVxmS	2026-05-14 08:00:02	SoundThinking Appoints David Jochim as Senior Vice President of TechnoLogic and Professional Services	Globe Newswire	9.62	2026-05-14 08:00:10.008736	0.0607	0.0423	0.897	0.0184	neutral	0.083	2026-05-14 08:00:24.911237	2132.77	NO:sentiment_score
CLNN	"[""CLNN""]"	nGNXBcLRZ	2026-05-14 08:00:02	Clene Reports First Quarter 2026 Financial Results and Recent Operating Highlights	Globe Newswire	8.53	2026-05-14 08:00:07.489890	0.2315	0.0368	0.7317	0.1946	positive	-0.1335	2026-05-14 08:00:26.513025	6706.31	NO:sentiment_score
MIRA	"[""MIRA""]"	nACSpbTkta	2026-05-14 08:00:02	MIRA Pharmaceuticals Reports Positive Unblinded Phase 1 Data for Ketamir-2	ACCESSWIRE	35.05	2026-05-14 08:00:15.448465	0.9062	0.0196	0.0742	0.8866	positive	0.2117	2026-05-14 08:00:29.893177	3314.61	YES
INAB	"[""INAB""]"	nGNX8Ctwkg	2026-05-14 08:00:03	IN8bio Presents New Translational Data Demonstrating DeltEx DRI Reshapes the Immune Landscape in Glioblastoma	Globe Newswire	7.65	2026-05-14 08:00:17.426951	0.5931	0.0592	0.3477	0.5339	positive		2026-05-14 08:00:32.498060	2663.01	NO:sentiment_score
CMMB	"[""CMMB""]"	nGNX6cvC7t	2026-05-14 08:00:02	Chemomab Therapeutics Announces First Quarter 2026 Financial Results and Provides Corporate Update	Globe Newswire	6.87	2026-05-14 08:00:13.443520	0.1213	0.0431	0.8356	0.0782	positive	0.2943	2026-05-14 08:00:33.325676	8407.63	NO:sentiment_score
INTS	"[""INTS""]"	nPn2Tm7yVa	2026-05-14 08:00:03	Intensity Therapeutics Recognized with GHP Magazine's 2026 Healthcare & Pharmaceutical Award	PR Newswire	2.32	2026-05-14 08:00:19.806988	0.8027	0.0142	0.1831	0.7885	positive	0.2657	2026-05-14 08:00:37.210523	4706.08	YES
SNYR	"[""SNYR""]"	nGNX3TKk7J	2026-05-14 08:00:03	Synergy CHC Corp. Reports First Quarter 2026 Financial Results	Globe Newswire	5.79	2026-05-14 08:00:22.336322	0.0853	0.0688	0.8459	0.0165	neutral	0.1279	2026-05-14 08:00:39.061861	5725.48	NO:sentiment_score
XELB	"[""XELB""]"	nGNX2xLBJS	2026-05-14 08:00:03	XCEL BRANDS Announces Renowned Dog Behaviorist and Television Personality Cesar Millan to Premiere on QVC	Globe Newswire	3.97	2026-05-14 08:00:22.789171	0.1186	0.041	0.8403	0.0776	positive	0.142	2026-05-14 08:00:39.067435	1850.41	NO:sentiment_score
OTH	"[""OTH""]"	nGNXb74TLK	2026-05-14 08:00:03	Off The Hook Yachts Completes Acquisition of Apex Marine Companies, Creating Mega Service, Refurbishment & Sales Hub for Global Customers	Globe Newswire	3.45	2026-05-14 08:00:24.918330	0.5078	0.0182	0.474	0.4896	positive	0.3131	2026-05-14 08:00:41.349022	2285.17	NO:sentiment_score
GAMI	"[""GAMI"", ""GGZ""]"	nGNX4DrLkj	2026-05-14 08:00:04	Gabelli 18th Annual Sports & Media Symposium Agenda Released	Globe Newswire		2026-05-14 08:00:26.708298	0.057	0.0495	0.8935	0.0075	neutral		2026-05-14 08:00:41.750062	2644.1	NO:sentiment_score,Float
GGZ	"[""GAMI"", ""GGZ""]"	nGNX4DrLkj	2026-05-14 08:00:04	Gabelli 18th Annual Sports & Media Symposium Agenda Released	Globe Newswire	4.95	2026-05-14 08:00:29.918007	0.057	0.0495	0.8935	0.0075	neutral		2026-05-14 08:00:41.748536	2644.1	NO:sentiment_score
DGNX	"[""DGNX""]"	nGNX4cHxzk	2026-05-14 08:00:04	Billion-Dollar AI deal, $100m in Acquisitions, $25m Founder Buy-In – Diginex Details Expansion Push	Globe Newswire	11.83	2026-05-14 08:00:32.505095	0.3069	0.0107	0.6824	0.2962	positive	0.1728	2026-05-14 08:00:44.163825	2806.32	NO:sentiment_score
AGH	"[""AGH""]"	nGNX9XDCyX	2026-05-14 08:00:04	"Aureus Greenway Holdings to Change Ticker Symbol to ""PUSA"" Ahead of Expected Combination With Powerus"	Globe Newswire	9.51	2026-05-14 08:00:33.329555	0.1845	0.0181	0.7974	0.1664	positive	0.063	2026-05-14 08:00:46.021142	4265.54	NO:sentiment_score
CVRX	"[""CVRX""]"	nGNX2dXPnQ	2026-05-14 08:00:04	CVRx Announces Humana Medicare Advantage Coverage Policy for Barostim Therapy	Globe Newswire	14.54	2026-05-14 08:00:39.287362	0.2927	0.0193	0.688	0.2734	positive	0.3466	2026-05-14 08:00:47.378557	1348.11	NO:sentiment_score
KYTX	"[""KYTX""]"	nGNX4nJvVX	2026-05-14 08:00:04	Kyverna Therapeutics to Present at Upcoming Investor Conferences	Globe Newswire	36.45	2026-05-14 08:00:39.310989	0.1456	0.024	0.8303	0.1216	positive	0.1582	2026-05-14 08:00:48.172349	787.89	NO:sentiment_score
BOF	"[""BOF""]"	nGNX7FJ9vR	2026-05-14 08:00:04	BranchOut Food Shareholder Update: Record Production and Major Customer Deliveries Position Company for Record Q2	Globe Newswire	10.61	2026-05-14 08:00:37.282937	0.675	0.0401	0.285	0.6349	positive	0.2104	2026-05-14 08:00:49.001477	4829.49	NO:sentiment_score
SEED	"[""SEED""]"	nPn1cgjJka	2026-05-14 08:00:08	Origin Agritech to Hold Business Update & First Half Fiscal Year 2026 Earnings Conference Call on May 22 at 8 a.m. ET	PR Newswire	6.64	2026-05-14 08:00:41.758937	0.0437	0.0258	0.9305	0.0179	neutral	0.0608	2026-05-14 08:00:50.531627	1526.56	NO:sentiment_score
GNPX	"[""GNPX""]"	nPn1tzpPBa	2026-05-14 08:00:13	Genprex Collaborators Present Positive Preclinical Data on Diabetes Gene Therapy for Type 2 Diabetes at the 2026 American Society of Gene and Cell Therapy Annual Meeting	PR Newswire	8.79	2026-05-14 08:00:41.762829	0.5557	0.0193	0.4249	0.5364	positive	0.3761	2026-05-14 08:00:54.297407	3763.59	NO:sentiment_score
PXLW	"[""PXLW""]"	nPn78pKqpa	2026-05-14 08:00:16	"Pixelworks TrueCut Motion Platform Powers Cinematic Innovation for ""Billie Eilish: Hit Me Hard and Soft - The Tour Live in 3D"""	PR Newswire	5.88	2026-05-14 08:00:44.228497	0.2465	0.0282	0.7253	0.2183	positive	0.3685	2026-05-14 08:00:55.598612	1299.52	NO:sentiment_score
FRMM	"[""FRMM""]"	nPn1vJsH1a	2026-05-14 08:00:04	Forum Reports First Quarter 2026 Financial Results	PR Newswire	9.12	2026-05-14 08:00:41.358200	0.115	0.1201	0.7649	-0.0051	neutral	0.0576	2026-05-14 08:00:57.316666	9140.98	NO:sentiment_score
MSAI	"[""MSAI""]"	nNFC2pPMCz	2026-05-14 08:00:18	MultiSensor AI to Debut Sub-2-Second Multi-Camera Thermal Monitoring at the Reliability Conference 2026	Newsfile Corp	1.73	2026-05-14 08:00:46.035360	0.2468	0.0128	0.7404	0.2339	positive		2026-05-14 08:00:59.108065	3507.46	NO:sentiment_score
E	"[""E""]"	nNFC8TvNgS	2026-05-14 08:00:22	Enterprise Group Announces Results for the First Quarter 2026	Newsfile Corp	1420.0	2026-05-14 08:00:47.387936	0.1176	0.0994	0.783	0.0182	neutral		2026-05-14 08:00:59.412351	2080.34	NO:sentiment_score,Float
MOBX	"[""MOBX""]"	nBwcdbRdMa	2026-05-14 08:01:00	Mobix Labs to Acquire U.S. Rare Earth and Critical Minerals Company Powering Defense and National Security	Business Wire	8.55	2026-05-14 08:01:00.381984	0.1534	0.022	0.8246	0.1314	positive		2026-05-14 08:01:03.846469	3607.3	NO:sentiment_score
AWX	"[""AWX""]"	nNFCQsc2P	2026-05-14 08:00:24	ArcWest Provides Exploration Update	Newsfile Corp	1.92	2026-05-14 08:00:48.181154	0.0662	0.0188	0.915	0.0473	neutral	0.124	2026-05-14 08:01:07.080587	7971.12	NO:sentiment_score
MBX	"[""MBX""]"	nACSvn4Wra	2026-05-14 08:01:12	Microbix Reports Results for H1 & Q2 2026	ACCESSWIRE	29.43	2026-05-14 08:01:12.926075	0.1192	0.0855	0.7953	0.0337	neutral		2026-05-14 08:01:15.462741	2635.05	NO:sentiment_score
ADTX	"[""ADTX""]"	nBwc2mzTra	2026-05-14 08:15:00	Aditxt, Inc. (NASDAQ: ADTX) Announces 1-for-27 Reverse Stock Split Effective at the Open of Trading on May 18, 2026	Business Wire	0.9	2026-05-14 08:15:00.325336	0.0656	0.0375	0.897	0.0281	neutral	0.1118	2026-05-14 08:15:02.820434	2568.83	NO:sentiment_score
WALD	"[""WALD""]"	nGNX6SdFNQ	2026-05-14 08:15:00	Obagi and Next Health Partner to Launch “The Skin Recharge Station” Pop-Up Experience	Globe Newswire	47.1	2026-05-14 08:15:00.311342	0.2307	0.0122	0.7572	0.2185	positive		2026-05-14 08:15:02.944095	2713.14	NO:sentiment_score
FUFU	"[""FUFU""]"	nGNX51b0GG	2026-05-14 08:15:00	BitFuFu Announces April 2026 Bitcoin Production and Operational Updates	Globe Newswire	18.27	2026-05-14 08:15:00.476200	0.081	0.0225	0.8965	0.0585	positive		2026-05-14 08:15:04.515234	1696.55	NO:sentiment_score
YYGH	"[""YYGH""]"	nPnc9W9PGa	2026-05-14 08:17:00	YY Group (NASDAQ: YYGH) Joins Singapore Hotel Association as Associate Member	PR Newswire	2.43	2026-05-14 08:17:00.189638	0.1931	0.0158	0.7911	0.1773	positive	0.0793	2026-05-14 08:17:01.407560	1295.49	NO:sentiment_score
VIVO	"[""VIVO""]"	nGNX810Y8C	2026-05-14 08:20:00	VivoPower CIO to Address Power Access and AI Infrastructure Financing at KBRA’s European Data Centers Event in London	Globe Newswire	9.17	2026-05-14 08:20:00.268519	0.3604	0.0144	0.6252	0.346	positive	0.1369	2026-05-14 08:20:01.525751	1357.38	NO:sentiment_score
ALAR	"[""ALAR""]"	nGNX17KvPd	2026-05-14 08:30:00	Alarum to Release First Quarter 2026 Results and Host Conference Call on Thursday, May 28, 2026	Globe Newswire	7.01	2026-05-14 08:30:00.379044	0.0498	0.0292	0.9211	0.0206	neutral	0.269	2026-05-14 08:30:03.121548	2835.22	NO:sentiment_score
SBEV	"[""SBEV""]"	nGNXbxPm23	2026-05-14 08:30:00	Splash Beverage Group Announces Leadership Transition and Strategic Evolution Toward High-Growth Wellness & Cannabinoid Markets	Globe Newswire	9.34	2026-05-14 08:30:00.519333	0.7289	0.0121	0.259	0.7169	positive		2026-05-14 08:30:04.771984	1643.37	YES
SNAL	"[""SNAL""]"	nGNXLwF2J	2026-05-14 08:30:00	Snail Games USA Explores Partnerships in One of Gaming’s Largest Markets with Gamescom LATAM Attendance	Globe Newswire	8.65	2026-05-14 08:30:00.411675	0.6395	0.0083	0.3521	0.6312	positive	0.3872	2026-05-14 08:30:05.039617	4649.29	NO:sentiment_score
ZBAI	"[""ZBAI""]"	nGNE7gBmZZ	2026-05-14 08:30:00	ZBAI Announces Change of its Nasdaq Ticker Symbol to “AUC”	Globe Newswire	10.02	2026-05-14 08:30:00.600425	0.1505	0.0485	0.8011	0.102	positive	0.0353	2026-05-14 08:30:06.826650	1786.3	NO:sentiment_score
VTGN	"[""VTGN""]"	nBw5ZkrVWa	2026-05-14 08:30:00	Vistagen to Participate in the 2026 RBC Capital Markets Global Healthcare Conference	Business Wire	33.78	2026-05-14 08:30:00.722982	0.2215	0.0138	0.7647	0.2077	positive	0.3103	2026-05-14 08:30:07.862647	1030.13	NO:sentiment_score
DWTX	"[""DWTX""]"	nGNXbpc6D8	2026-05-14 08:30:00	Dogwood Therapeutics Announces First Quarter 2026 Financial Results	Globe Newswire	8.65	2026-05-14 08:30:00.534522	0.1247	0.1346	0.7407	-0.0098	neutral	0.1581	2026-05-14 08:30:08.830160	4053.29	NO:sentiment_score
GWH	"[""GWH""]"	nBw3TMPSza	2026-05-14 08:30:00	ESS to Attend Sidoti Micro-Cap Virtual Conference on May 20, 2026	Business Wire	21.0	2026-05-14 08:30:00.743747	0.0854	0.0189	0.8957	0.0665	positive		2026-05-14 08:30:09.742593	1874.64	NO:sentiment_score
SPAIF	"[""SPAIF"", ""SPAI""]"	nGNX4B1Nsq	2026-05-14 08:30:00	SPARC AI Inc. (OTC: SPAIF) Leading Out in Filling Gap, Developing Software-Only Drone System	Globe Newswire		2026-05-14 08:30:00.888972	0.476	0.011	0.5131	0.465	positive		2026-05-14 08:30:11.938014	3106.04	NO:sentiment_score,Float
SPAI	"[""SPAIF"", ""SPAI""]"	nGNX4B1Nsq	2026-05-14 08:30:00	SPARC AI Inc. (OTC: SPAIF) Leading Out in Filling Gap, Developing Software-Only Drone System	Globe Newswire	12.96	2026-05-14 08:30:03.137022	0.476	0.011	0.5131	0.465	positive	0.0217	2026-05-14 08:30:11.938909	3106.04	NO:sentiment_score
CLIR	"[""CLIR""]"	nACSW2XRMa	2026-05-14 08:30:00	ClearSign Receives Order for Next Phase of 32-Burner Project for California Refinery	ACCESSWIRE	4.28	2026-05-14 08:30:04.894572	0.5584	0.0143	0.4273	0.5441	positive	0.2845	2026-05-14 08:30:13.228523	3484.41	NO:sentiment_score
OFAL	"[""OFAL""]"	nGNX45ZbqH	2026-05-14 08:30:00	OFA Group Enters $7.5 Million Tokenization Platform Services Agreement for Vero Beach, Florida Residential Development Project	Globe Newswire	1.5253	2026-05-14 08:30:05.125761	0.6852	0.0117	0.3031	0.6736	positive	0.1601	2026-05-14 08:30:15.486996	3535.89	NO:sentiment_score
GTBP	"[""GTBP""]"	nGNX3QF13J	2026-05-14 08:30:00	GT Biopharma Announces First Patient Dosed in Phase 1 Trial of GTB-5550, a B7-H3-Targeted Natural Killer (NK) Cell Engager for Solid Tumors	Globe Newswire	27.48	2026-05-14 08:30:06.935766	0.6188	0.0147	0.3665	0.6041	positive	0.2371	2026-05-14 08:30:16.571904	3330.03	NO:sentiment_score
TRT	"[""TRT""]"	nBw9l9W4La	2026-05-14 08:30:01	Trio-Tech Reports 124% Q3 Revenue Growth, Driven by Strong Semiconductor Reliability Testing Demand Supporting AI and Automotive Applications	Business Wire	5.53	2026-05-14 08:30:07.869644	0.9168	0.0134	0.0699	0.9034	positive	0.0995	2026-05-14 08:30:21.169060	5682.1	YES
CISS	"[""CISS""]"	nGNX7wFmwZ	2026-05-14 08:30:01	C3is Inc. announces the date for the release of the first quarter 2026 financial and operating results	Globe Newswire	0.37	2026-05-14 08:30:09.808949	0.0431	0.0381	0.9188	0.005	neutral	0.0101	2026-05-14 08:30:22.470387	1297.68	NO:sentiment_score
JFB	"[""JFB""]"	nGNX3Nkdkj	2026-05-14 08:30:01	XTEND Secures Seven-Figure Defense ISR Order in Asia-Pacific	Globe Newswire	5.85	2026-05-14 08:30:08.913274	0.8853	0.0158	0.099	0.8695	positive	0.1237	2026-05-14 08:30:24.416612	7832.81	YES
MBIO	"[""MBIO""]"	nGNX60ssNQ	2026-05-14 08:30:01	MindBio Therapeutics Corp. (CSE: MBIO) (OTCQB: MBQIF) Harnesses Key AI, Voice Analysis to Offer Impairment Solution	Globe Newswire	6.44	2026-05-14 08:30:11.957466	0.5579	0.0122	0.4298	0.5457	positive	0.043	2026-05-14 08:30:25.733593	3249.04	NO:sentiment_score
GLE	"[""GLE""]"	nPreZPk64a	2026-05-14 08:30:01	GLG Provides Expert Insights on Bloomberg's ASKB	PR Newswire	1.26	2026-05-14 08:30:11.957577	0.1807	0.018	0.8014	0.1627	positive		2026-05-14 08:30:26.620437	2196.51	NO:sentiment_score
NUWE	"[""NUWE""]"	nGNXblHFs0	2026-05-14 08:30:01	Nuwellis Announces Successful Completion of FDA Pre-Submission 510(k) Meeting to Expand Aquadex Label	Globe Newswire	2.42	2026-05-14 08:30:15.495131	0.8378	0.0112	0.151	0.8266	positive	0.4185	2026-05-14 08:30:29.055052	2424.4	YES
IQST	"[""IQST""]"	nPn8566f1a	2026-05-14 08:30:02	IQST - IQSTEL Launches IQSTEL Digital Services Subsidiary and Appoints Jorge Enrique Becerra as CEO	PR Newswire	4.72	2026-05-14 08:30:16.580072	0.0549	0.0305	0.9146	0.0245	neutral	0.3522	2026-05-14 08:30:33.884845	4828.42	NO:sentiment_score
ATOS	"[""ATOS""]"	nPn712Lba	2026-05-14 08:30:05	Atossa Therapeutics to Host Virtual KOL Event Featuring Dr. Laura Esserman to Discuss Development of (Z)-Endoxifen in ER-Positive Breast Cancer	PR Newswire	8.52	2026-05-14 08:30:21.179913	0.2453	0.0202	0.7345	0.2251	positive	0.2044	2026-05-14 08:30:36.686669	2795.61	NO:sentiment_score
XTIA	"[""XTIA""]"	nPn49gF4ja	2026-05-14 08:30:01	XTI Aerospace Reports First Quarter 2026 Results	PR Newswire	38.43	2026-05-14 08:30:13.288258	0.0424	0.0359	0.9217	0.0065	neutral	0.1731	2026-05-14 08:30:37.815718	12082.64	NO:sentiment_score
LFS	"[""LFS""]"	nPnbKLVJFa	2026-05-14 08:30:06	LEIFRAS Co., Ltd. Ranked No. 1 in Japan by Number of Supported School Club Activities with 2,120 Contracts	PR Newswire	6.594	2026-05-14 08:30:22.480886	0.655	0.0164	0.3286	0.6386	positive	0.339	2026-05-14 08:30:38.938310	2252.05	NO:sentiment_score
AIDX	"[""AIDX""]"	nGNX8q9wZP	2026-05-14 08:31:00	20/20 BioLabs to Attend Sidoti Micro-Cap Virtual Conference on May 20, 2026	Globe Newswire	6.95	2026-05-14 08:31:00.432646	0.0769	0.0224	0.9006	0.0545	positive	0.1085	2026-05-14 08:31:01.829572	1522.8	NO:sentiment_score
LAKE	"[""LAKE""]"	nGNX8v59fv	2026-05-14 08:31:00	Lakeland Fire + Safety’s LHD Group Australia Secures Multi-Year Extension Agreement with Energy Queensland for Field Workwear	Globe Newswire	8.44	2026-05-14 08:31:00.293872	0.9257	0.0181	0.0563	0.9076	positive	0.4385	2026-05-14 08:31:02.460854	2265.34	YES
HPAIW	"[""HPAI"", ""HPAIW""]"	nGNX2b6nVH	2026-05-14 08:31:00	Helport AI Launches New ‘AI Labor’ Corporate Website	Globe Newswire		2026-05-14 08:31:00.440975	0.1232	0.0574	0.8193	0.0658	positive	0.242	2026-05-14 08:31:06.175978	4339.2	NO:sentiment_score,Float
HPAI	"[""HPAI"", ""HPAIW""]"	nGNX2b6nVH	2026-05-14 08:31:00	Helport AI Launches New ‘AI Labor’ Corporate Website	Globe Newswire	7.88	2026-05-14 08:31:00.440944	0.1232	0.0574	0.8193	0.0658	positive		2026-05-14 08:31:06.177198	4339.2	NO:sentiment_score
PHUN	"[""PHUN""]"	nGNX82TLmw	2026-05-14 08:31:00	Phunware Appoints Dmitry Kroshka as Chief Executive Officer to Lead 2.0 Strategy; Engages Michael Cerdá to Drive Product Rollout	Globe Newswire	18.23	2026-05-14 08:31:00.471111	0.2391	0.0108	0.7501	0.2283	positive	0.3232	2026-05-14 08:31:07.207013	4740.61	NO:sentiment_score
STIM	"[""STIM""]"	nGNXZ6rMP	2026-05-14 08:32:00	Neuronetics and ANT Neuro Announce Strategic Collaboration to Integrate Neuronavigation with NeuroStar TMS Treatment	Globe Newswire	24.66	2026-05-14 08:32:00.304765	0.6636	0.0099	0.3266	0.6537	positive	0.6436	2026-05-14 08:32:01.484665	1273.24	NO:sentiment_score
GRI	"[""GRI""]"	nGNX4CZHtV	2026-05-14 08:35:00	GRI Bio Reports First Quarter 2026 Financial Results, New Data Reinforcing Differentiated Profile of GRI-0621 in Idiopathic Pulmonary Fibrosis and Highlights Continued Advancement of Differentiated Immune-Modulating Pipeline	Globe Newswire	1.44	2026-05-14 08:35:00.325480	0.8253	0.0101	0.1646	0.8152	positive	0.3806	2026-05-14 08:35:05.841000	5598.69	YES
HYEX	"[""GELS"", ""HYEX""]"	nACSy1prqa	2026-05-14 08:35:00	Healthy Extracts Q1 2026 Net Revenue Up 73% to Record $1.6 Million, Driving Positive EBITDA	ACCESSWIRE		2026-05-14 08:35:00.756627	0.9419	0.0268	0.0313	0.9151	positive	0.5615	2026-05-14 08:35:09.704527	9093.92	NO:Float
GELS	"[""GELS"", ""HYEX""]"	nACSy1prqa	2026-05-14 08:35:00	Healthy Extracts Q1 2026 Net Revenue Up 73% to Record $1.6 Million, Driving Positive EBITDA	ACCESSWIRE	5.62	2026-05-14 08:35:00.763951	0.9419	0.0268	0.0313	0.9151	positive		2026-05-14 08:35:09.704918	9093.92	YES
SNTI	"[""SNTI""]"	nGNX36HSqF	2026-05-14 08:40:00	Senti Biosciences Holdings Announces Positive FDA RMAT Meeting on Registrational Clinical and CMC Strategy for SENTI-202 in Relapsed/Refractory AML, Along with Important Efficacy and Durability Updates on the SENTI-202 Clinical Program	Globe Newswire	11.79	2026-05-14 08:40:00.395923	0.3704	0.0296	0.6	0.3408	positive	0.1777	2026-05-14 08:40:03.573212	3290.42	NO:sentiment_score
AIM	"[""AIM""]"	nGNX8dpYBd	2026-05-14 08:41:00	AIM ImmunoTech Posts Virtual Investor Key Opinion Leader Segment Spotlighting Ampligen Breakthrough Data in Pancreatic Cancer	Globe Newswire	7.66	2026-05-14 08:41:00.259272	0.5515	0.0209	0.4276	0.5306	positive	0.1748	2026-05-14 08:41:03.436991	3224.93	NO:sentiment_score
NEXT	"[""NEXT""]"	nACSNqFmpa	2026-05-14 08:50:01	Germany's BGR Assesses NextSource Materials' Molo Graphite Mine as Part of Federal Critical Minerals Study	ACCESSWIRE	147.59	2026-05-14 08:50:01.131309	0.2275	0.0136	0.7589	0.2138	positive	0.0176	2026-05-14 08:50:02.936180	1897.26	NO:sentiment_score,Float
CURX	"[""CURX""]"	nGNX1yxLvf	2026-05-14 08:53:00	Curanex Reports First Quarter 2026 Business Progress as Phyto-N Advances Toward Planned FDA Submission	Globe Newswire	8.72	2026-05-14 08:53:00.255934	0.8981	0.0143	0.0876	0.8837	positive	0.4106	2026-05-14 08:53:01.934980	1757.99	YES
CPHI	"[""CPHI""]"	nPn8H5JJxa	2026-05-14 08:57:16	China Pharma Holdings, Inc. States It Knows of No Events That Could Have Caused Unusual Market Activity	PR Newswire	18.89	2026-05-14 08:57:16.103945	0.0613	0.0623	0.8765	-0.001	neutral	0.0042	2026-05-14 08:57:16.904410	898.8	NO:sentiment_score
YYAI	"[""YYAI""]"	nGNXbffr25	2026-05-14 09:00:00	AiRWA Inc. Announces 1-for-40 Reverse Split	Globe Newswire	36.23	2026-05-14 09:00:00.538102	0.1187	0.0617	0.8196	0.0571	positive	0.1151	2026-05-14 09:00:03.762164	3306.41	NO:sentiment_score
ACCS	"[""ACCS""]"	nACSf0w5la	2026-05-14 09:00:00	ACCESS Newswire Celebrates PRSSA Bateman Competition Success and the Next Generation of Communications Leaders	ACCESSWIRE	3.15	2026-05-14 09:00:00.761559	0.436	0.0097	0.5542	0.4263	positive	0.2719	2026-05-14 09:00:06.275716	2514.33	NO:sentiment_score
MLEC	"[""MLEC""]"	nACSYQr3ca	2026-05-14 09:00:00	Moolec Science Successfully Completes 2026 GLASO Commercial Planting Campaign in the United States	ACCESSWIRE	0.2	2026-05-14 09:00:00.697199	0.7793	0.0161	0.2046	0.7632	positive		2026-05-14 09:00:06.584158	5976.08	YES
COSM	"[""COSM""]"	nACSfsxL2a	2026-05-14 09:00:00	Cosmos Health, through its Subsidiary Cana Laboratories, Enters into an Advisory Agreement with the European Investment Bank (EIB) for the Financing of its €50M R&D Program; EIB Financing Represents up to 50%, or €25M, under the EIB's Venture Debt Program	ACCESSWIRE	28.16	2026-05-14 09:00:01.029373	0.6831	0.0137	0.3032	0.6694	positive	0.3631	2026-05-14 09:00:09.779364	3502.8	NO:sentiment_score
MEGI	"[""MEGI""]"	nBwbWJL7ga	2026-05-14 09:00:01	NYLI CBRE Global Infrastructure Megatrends Term Fund (NYSE: MEGI) Declares Availability of Section 19(a) Notice for May 2026	Business Wire	45.09	2026-05-14 09:00:01.278009	0.1792	0.0294	0.7914	0.1498	positive	0.1101	2026-05-14 09:00:11.108500	4512.84	NO:sentiment_score
ANGI	"[""ANGI""]"	nGNX4Ly4S0	2026-05-14 09:00:01	Do You Own Your Home—or Does It Own You? Angi Launches “Own It with Angie Hicks,” a Podcast That Coaches Homeowners on the Decisions No One Tells You About	Globe Newswire	28.29	2026-05-14 09:00:01.681535	0.1247	0.0503	0.825	0.0745	positive	0.1788	2026-05-14 09:00:13.076731	1944.83	NO:sentiment_score
